Storm no.,Start date,End date,MP,Min SYM-H(nY),Max ASY-H(nT)
1,1998-02-14,1998-02-22,Y,-119,188
2,1998-08-02,1998-08-08,Y,-168,136
3,1998-09-19,1998-09-29,N,-213,395
4,1999-02-16,1999-02-24,Y,-127,246
5,1999-10-15,1999-10-25,N,-218,214
6,2000-07-09,2000-07-19,N,-335,380
7,2000-08-06,2000-08-16,Y,-235,206
8,2000-09-15,2000-09-25,Y,-196,219
9,2000-11-01,2000-11-15,Y,-174,130
10,2001-03-14,2001-03-24,Y,-165,225
11,2001-04-06,2001-04-16,N,-275,422
12,2001-10-17,2001-10-22,N,-210,154
13,2001-10-31,2001-11-10,N,-313,329
14,2002-05-17,2002-05-27,Y,-113,204
15,2003-11-15,2003-11-25,N,-488,374
16,2004-07-20,2004-07-30,Y,-208,294
17,2005-05-10,2005-05-20,N,-302,250
18,2006-04-09,2006-04-19,N,-110,162
19,2006-10-09,2006-12-19,N,-206,267
20,2012-03-01,2012-03-11,Y,-149,229
21,1998-04-28,1998-05-08,N,-268,415
22,1999-09-19,1999-09-26,N,-160,157
23,2003-10-25,2003-11-03,Y,-427,828
24,2015-06-18,2015-06-28,Y,-207,348
25,2017-09-01,2017-09-11,Y,-144,230
26,1998-06-22,1998-06-30,N,-120,127
27,1998-11-02,1998-11-12,Y,-179,196
28,1999-01-09,1999-01-18,N,-111,147
29,1999-04-13,1999-04-19,N,-122,138
30,2000-01-16,2000-01-26,Y,-101,99
31,2000-04-02,2000-04-12,N,-315,612
32,2000-05-19,2000-05-28,Y,-159,225
33,2001-03-26,2001-04-04,N,-434,352
34,2003-05-26,2003-06-06,Y,-162,377
35,2003-07-08,2003-07-18,Y,-125,172
36,2004-01-18,2004-01-27,Y,-137,150
37,2004-11-04,2004-11-14,Y,-393,339
38,2012-09-10,2012-10-05,N,-138,130
39,2013-05-28,2013-06-04,N,-134,154
40,2013-06-26,2013-07-04,N,-110,165
41,2015-03-11,2015-03-21,N,-233,250
42,2018-08-22,2018-09-03,N,-205,197